Date,Disease,Frequency,Average Age,StdDev Age,Subdistrict
2017-11-20,J18.0,3,1.0,1.4142135623730951,6
2017-11-21,J18.0,3,67.33333333333333,19.430788855719562,4
2017-11-23,J18.0,2,0.5,0.5,6
2017-11-25,J18.0,1,1.0,0.0,2
2017-11-26,J18.0,1,4.0,0.0,7
2017-11-27,J18.0,1,38.0,0.0,3
2017-11-28,J18.0,1,2.0,0.0,2
2017-11-29,J18.0,1,62.0,0.0,2
2017-12-03,J18.0,3,44.333333333333336,19.39644870130154,2
2017-12-05,J18.0,2,25.0,22.0,4
2017-12-06,J18.0,1,0.0,0.0,5
2017-12-07,J18.0,1,0.0,0.0,5
2017-12-08,J18.0,1,0.0,0.0,7
2017-12-10,J18.0,1,4.0,0.0,1
2017-12-11,J18.0,1,1.0,0.0,3
2017-12-13,J18.0,1,37.0,0.0,7
2017-12-14,J18.0,1,3.0,0.0,6
2017-12-15,J18.0,1,18.0,0.0,2
2017-12-16,J18.0,1,0.0,0.0,5
2017-12-17,J18.0,1,74.0,0.0,4
2017-12-19,J18.0,2,24.5,23.5,5
2017-12-20,J18.0,1,33.0,0.0,7
2017-12-21,J18.0,2,1.0,1.0,6
2017-12-24,J18.0,2,38.5,38.5,3
2017-12-25,J18.0,1,48.0,0.0,5
2017-12-27,J18.0,3,42.333333333333336,28.986586936412884,4
2017-12-28,J18.0,1,31.0,0.0,4
2018-01-03,J18.0,2,3.5,1.5,6
2018-01-04,J18.0,1,1.0,0.0,2
2018-01-05,J18.0,1,60.0,0.0,2
2018-01-07,J18.0,1,11.0,0.0,1
2018-01-08,J18.0,1,31.0,0.0,5
2018-01-09,J18.0,1,65.0,0.0,4
2018-01-10,J18.0,1,1.0,0.0,6
2018-01-11,J18.0,3,11.666666666666666,3.2998316455372216,3
2018-01-12,J18.0,1,1.0,0.0,6
2018-01-14,J18.0,2,23.0,19.0,4
2018-01-16,J18.0,1,60.0,0.0,5
2018-01-17,J18.0,3,33.666666666666664,24.78350706058814,5
2018-01-18,J18.0,2,32.5,21.5,4
2018-01-20,J18.0,2,13.0,10.0,3
2018-01-21,J18.0,1,57.0,0.0,4
2018-01-23,J18.0,2,4.0,2.0,4
2018-01-24,J18.0,2,3.5,1.5,6
2018-01-29,J18.0,1,2.0,0.0,3
2018-01-31,J18.0,2,10.5,8.5,3
2018-02-03,J18.0,1,1.0,0.0,7
2018-02-04,J18.0,1,3.0,0.0,3
2018-02-05,J18.0,2,1.5,1.5,6
2018-02-06,J18.0,1,7.0,0.0,3
2018-02-10,J18.0,1,80.0,0.0,4
2018-02-12,J18.0,2,4.0,2.0,4
2018-02-13,J18.0,1,37.0,0.0,7
2018-02-15,J18.0,2,2.5,1.5,6
2018-02-17,J18.0,1,19.0,0.0,3
2018-02-19,J18.0,2,3.5,0.5,3
2018-02-20,J18.0,3,31.0,19.200694431886227,2
2018-02-21,J18.0,1,6.0,0.0,5
2018-02-23,J18.0,2,36.5,34.5,4
2018-02-27,J18.0,2,31.0,24.0,3
2018-03-01,J18.0,1,1.0,0.0,6
2018-03-02,J18.0,1,2.0,0.0,4
